"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"transition metal ion transport","9.62597811740766e-07","16","69","YBR085W/YEL065W/YER145C/YHL047C/YHL040C/YIL121W/YKL220C/YKL175W/YLR034C/YLR130C/YMR058W/YMR301C/YOL158C/YOR382W/YOR383C/YOR384W"
"vitamin biosynthetic process","1.08587926895718e-06","14","53","YBR240C/YBR256C/YEL029C/YGR144W/YGR267C/YMR020W/YMR095C/YMR096W/YOL143C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"water-soluble vitamin biosynthetic process","1.08587926895718e-06","14","53","YBR240C/YBR256C/YEL029C/YGR144W/YGR267C/YMR020W/YMR095C/YMR096W/YOL143C/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"aromatic amino acid metabolic process","1.08587926895718e-06","12","38","YBR248C/YCL030C/YDR354W/YER055C/YFR025C/YGL202W/YGL026C/YGR204W/YIL116W/YKL211C/YLR134W/YOR202W"
"sulfur compound transport","1.62703199674583e-06","10","26","YBR294W/YGR055W/YHL036W/YKL120W/YLL061W/YLL055W/YLR092W/YLR237W/YOR192C/YPL274W"
"primary alcohol metabolic process","2.0044411553069e-06","11","33","YBR145W/YBR240C/YCR020C/YER073W/YGR144W/YLR134W/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"thiamine metabolic process","2.67548462910838e-06","8","16","YBR240C/YCR020C/YGR144W/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"transmembrane transport","7.09268190106109e-06","47","484","YAL067C/YBR085W/YBR104W/YBR294W/YDL198C/YDL054C/YDR046C/YDR345C/YEL065W/YER060W-A/YER145C/YGL186C/YGR055W/YGR138C/YHL047C/YHL040C/YHL036W/YHL028W/YHL016C/YHR092C/YHR094C/YHR162W/YIL121W/YIR034C/YJL212C/YKL175W/YKL120W/YLL061W/YLL055W/YLL053C/YLL052C/YLR004C/YLR034C/YLR092W/YLR130C/YLR136C/YLR237W/YMR018W/YMR058W/YMR301C/YOL158C/YOL119C/YOR130C/YOR192C/YOR222W/YPL274W/YPL058C"
"one-carbon metabolic process","7.95070851093735e-06","8","18","YAL044C/YDR019C/YDR502C/YGL125W/YGR204W/YLR058C/YLR180W/YMR189W"
"iron ion transmembrane transport","7.95070851093735e-06","8","18","YEL065W/YER145C/YHL047C/YHL040C/YLR034C/YMR058W/YMR301C/YOL158C"
"intracellular iron ion homeostasis","9.20334939951767e-06","13","54","YDL198C/YEL065W/YHL047C/YHL040C/YJR005C-A/YKL220C/YLR034C/YLR136C/YMR058W/YMR301C/YOL158C/YOR226C/YOR384W"
"iron coordination entity transport","2.04020288601474e-05","8","20","YBR085W/YEL065W/YHL047C/YHL040C/YMR301C/YOL158C/YOR382W/YOR383C"
"thiamine-containing compound biosynthetic process","2.66097974663265e-05","7","15","YBR240C/YGR144W/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"glutamine family amino acid metabolic process","2.66097974663265e-05","11","42","YDL066W/YER069W/YHR018C/YJL088W/YJL071W/YJR109C/YMR062C/YOL140W/YOL058W/YOR130C/YOR303W"
"siderophore transport","4.65897913942956e-05","6","11","YEL065W/YHL047C/YHL040C/YOL158C/YOR382W/YOR383C"
"homocysteine metabolic process","4.65897913942956e-05","6","11","YAL012W/YGL184C/YGR155W/YHR112C/YJR130C/YLR303W"
"pyrimidine-containing compound biosynthetic process","5.52953034878934e-05","10","37","YBR240C/YGR144W/YKL216W/YLR420W/YOL055C/YOR143C/YOR303W/YPL258C/YPL214C/YPR121W"
"organic cation transport","9.158051621822e-05","10","39","YBR104W/YGR055W/YHL036W/YHL016C/YLL055W/YLR237W/YOR049C/YOR130C/YOR192C/YPL274W"
"thiamine biosynthetic process","0.000253277756553862","6","14","YBR240C/YGR144W/YOL055C/YPL258C/YPL214C/YPR121W"
"primary alcohol biosynthetic process","0.000253277756553862","6","14","YBR240C/YGR144W/YOL055C/YPL258C/YPL214C/YPR121W"
"metal ion transport","0.000356993955021136","16","108","YBR085W/YEL065W/YER145C/YHL047C/YHL040C/YIL121W/YKL220C/YKL175W/YLR034C/YLR130C/YMR058W/YMR301C/YOL158C/YOR382W/YOR383C/YOR384W"
"lysine biosynthetic process","0.00039422091865693","6","15","YDL182W/YDR158W/YER052C/YGL202W/YIR034C/YNL097C-B"
"lysine metabolic process","0.000597987264968768","6","16","YDL182W/YDR158W/YER052C/YGL202W/YIR034C/YNL097C-B"
"amino acid transmembrane transport","0.000721146864793733","10","49","YBR104W/YDR046C/YGR055W/YHL036W/YIL121W/YLL061W/YLL055W/YOR130C/YOR222W/YPL274W"
"iron import into cell","0.00144596536330832","5","12","YEL065W/YHL047C/YHL040C/YMR058W/YOL158C"
"regulation of sulfur metabolic process","0.0022311812928119","5","13","YAL012W/YBR240C/YDR253C/YIR017C/YNL311C"
"organic acid transmembrane transport","0.00228309181359692","9","46","YBR104W/YGR055W/YHL036W/YHR162W/YKL120W/YLL055W/YOR130C/YOR222W/YPL058C"
"organic acid transport","0.00228309181359692","12","78","YAL067C/YBR104W/YGR055W/YHL036W/YHR162W/YIL121W/YKL120W/YLL055W/YOR049C/YOR130C/YOR222W/YPL058C"
"pyrimidine nucleobase metabolic process","0.00320967724094769","5","14","YER037W/YGL224C/YKL216W/YLR420W/YOR303W"
"amino acid transport","0.00338720260198632","10","59","YBR104W/YDR046C/YGR055W/YHL036W/YIL121W/YLL061W/YLL055W/YOR130C/YOR222W/YPL274W"
"modified amino acid metabolic process","0.00506732917945477","10","62","YER024W/YGL125W/YGR154C/YGR204W/YGR267C/YJL101C/YLR058C/YMR020W/YNL191W/YOL058W"
"carboxylic acid transport","0.00684617219229067","11","76","YAL067C/YBR104W/YGR055W/YHL036W/YHR162W/YIL121W/YKL120W/YLL055W/YOR049C/YOR130C/YOR222W"
"inorganic ion homeostasis","0.00715951196756854","14","114","YDL198C/YEL065W/YHL047C/YHL040C/YJR005C-A/YKL220C/YKL175W/YLR034C/YLR136C/YMR058W/YMR301C/YOL158C/YOR226C/YOR384W"
"erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process","0.00790541634257566","4","10","YDR354W/YGL202W/YGL026C/YKL211C"
"carboxylic acid transmembrane transport","0.00790541634257566","8","44","YBR104W/YGR055W/YHL036W/YHR162W/YKL120W/YLL055W/YOR130C/YOR222W"
"nucleobase metabolic process","0.00926538233164685","7","35","YER037W/YGL224C/YGR204W/YKL216W/YLR420W/YOR184W/YOR303W"
"monoatomic ion transport","0.0102759749602627","22","234","YBR085W/YBR294W/YDR345C/YEL065W/YER145C/YHL047C/YHL040C/YHR092C/YHR094C/YIL121W/YKL220C/YKL175W/YLR034C/YLR092W/YLR130C/YLR136C/YMR058W/YMR301C/YOL158C/YOR382W/YOR383C/YOR384W"
"L-alpha-amino acid transmembrane transport","0.0105579346631764","5","18","YBR104W/YGR055W/YHL036W/YOR130C/YOR222W"
"organic anion transport","0.011028004152736","14","120","YAL067C/YBR085W/YBR104W/YGR055W/YHL036W/YHR162W/YIL121W/YKL120W/YLL055W/YOL158C/YOL119C/YOR049C/YOR130C/YOR222W"
"L-serine metabolic process","0.011028004152736","4","11","YGR155W/YIL074C/YLR058C/YOR184W"
"vitamin transport","0.011028004152736","4","11","YGL186C/YLR237W/YOL119C/YOR192C"
"tetrahydrofolate metabolic process","0.0157712561245175","4","12","YGL125W/YGR204W/YGR267C/YLR058C"
"nucleobase biosynthetic process","0.0167334022294247","5","20","YGR204W/YKL216W/YLR420W/YOR184W/YOR303W"
"monoatomic cation transport","0.0172180574468066","20","214","YBR085W/YDR345C/YEL065W/YER145C/YHL047C/YHL040C/YHR092C/YHR094C/YIL121W/YKL220C/YKL175W/YLR034C/YLR130C/YLR136C/YMR058W/YMR301C/YOL158C/YOR382W/YOR383C/YOR384W"
"lysine biosynthetic process via aminoadipic acid","0.0210225070472707","4","13","YDL182W/YGL202W/YIR034C/YNL097C-B"
"L-methionine biosynthetic process","0.0210225070472707","4","13","YGL202W/YGL184C/YHR208W/YLR303W"
"L-amino acid transport","0.0249756305379673","5","22","YBR104W/YGR055W/YHL036W/YOR130C/YOR222W"
"erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process","0.0249756305379673","5","22","YDR354W/YGL202W/YGL026C/YKL211C/YLR134W"
"alcohol metabolic process","0.0267517095345982","14","133","YBR145W/YBR240C/YCR020C/YDL066W/YER024W/YER073W/YGR144W/YGR267C/YLR134W/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"purine-containing compound transmembrane transport","0.0357864415242269","4","15","YBR085W/YDL198C/YER060W-A/YOR222W"
"inorganic ion transmembrane transport","0.0360879604525027","18","198","YBR294W/YDR345C/YEL065W/YER145C/YHL047C/YHL040C/YHR092C/YHR094C/YIL121W/YKL175W/YKL120W/YLR034C/YLR092W/YLR130C/YLR136C/YMR058W/YMR301C/YOL158C"
"amino acid catabolic process","0.0364721574279136","8","57","YAL044C/YBR145W/YDL170W/YDR019C/YHR208W/YJL060W/YLR134W/YMR189W"
"DNA recombination","0.0414305014257254","22","265","YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDL059C/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YER092W/YGR161C-D/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL104C/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"biogenic amine metabolic process","0.0423542451397633","5","25","YDR354W/YGL026C/YKL211C/YLR134W/YMR020W"
"L-tryptophan metabolic process","0.0429221989008595","4","16","YDR354W/YGL026C/YKL211C/YLR134W"
"indolalkylamine metabolic process","0.0429221989008595","4","16","YDR354W/YGL026C/YKL211C/YLR134W"
"indole-containing compound metabolic process","0.0429221989008595","4","16","YDR354W/YGL026C/YKL211C/YLR134W"
"monoatomic ion transmembrane transport","0.0452895972945422","17","188","YBR294W/YDR345C/YEL065W/YER145C/YHL047C/YHL040C/YHR092C/YHR094C/YIL121W/YKL175W/YLR034C/YLR092W/YLR130C/YLR136C/YMR058W/YMR301C/YOL158C"
